Word,Reading,Sequence,Index,Glosses,GlossLanguages,GlossGenders,GlossTypes,PartOfSpeech,CrossRef,Antonymns,Field,Dialect,IsUsuallyKana,Sources,SourceLanguages,SourceTypes,SourceWaseigo,Info,Info2
お前,おまえ,1002290,0,you,,,,&pn;,,,,,False,,,,,"formerly honorific, now oft. derog. in ref. to an equal or inferior",&fam;|&male;
お前,おまえ,1002290,1,"presence (of a god, nobleman, etc.)",,,,&pn;,,,,,False,,,,,,
お化け,おばけ,1001670,0,ghost; apparition,|,|,|,&n;,,,,,True,,,,,,&uk;
お化け,おばけ,1001670,1,goblin; monster; demon,||,||,||,&n;,,,,,True,,,,,,&uk;
お化け,おばけ,1001670,2,something unusually large,,,,&n;,,,,,True,,,,,,&uk;
お医者さん,おいしゃさん,1612760,0,doctor,,,,&n;,,,,,False,,,,,,&pol;
お参り,おまいり,1001950,0,"visit (to a shrine, grave, etc.); worship",|,|,|,&n;|&vs;|&vi;,,,,,False,,,,,,
お喋り,おしゃべり,1002450,0,chattering; talk; idle talk; chat; chitchat; gossip,|||||,|||||,|||||,&n;|&vs;|&vt;,しゃべる,,,,True,,,,,,&uk;
お喋り,おしゃべり,1002450,1,chatty; talkative; chatterbox; blabbermouth,|||,|||,|||,&adj-na;|&n;,,,,,True,,,,,,&uk;
お土産,おみやげ,1002500,0,local specialty or souvenir bought as a gift while travelling,,,,&n;,土産・1,,,,False,,,,,,&pol;
お土産,おみやげ,1002500,1,present brought by a visitor,,,,&n;,,,,,False,,,,,,&pol;
お土産,おみやげ,1002500,2,something unpleasant that one is given (e.g. an illness while on vacation); unwelcome gift; disservice,||,||,||,&n;,,,,,False,,,,,,&pol;
お坊さん,おぼうさん,1612830,0,Buddhist priest; monk,|,|,|,&n;,坊さん・1,,,,False,,,,,,&fam;|&hon;
お坊さん,おぼうさん,1612830,1,son (of others),,,,&n;,お坊っちゃん・おぼっちゃん・1,,,,False,,,,,,&fam;|&hon;
お大事に,おだいじに,1002390,0,take care of yourself; get well soon; God bless you; bless you,|||,|||,|||,&exp;,,,,,False,,,,,,
お天気,おてんき,1002470,0,weather,,,,&n;,天気・1,,,,False,,,,,,&pol;
お天気,おてんき,1002470,1,mood; temper,|,|,|,&n;,,,,,False,,,,,,
お好み焼き,おこのみやき,1001890,0,"okonomiyaki; savoury pancake fried on an iron griddle with vegetables, meat and/or seafood and topped with various sauces and condiments",|,|,|expl,&n;,,,&food;,,False,,,,,,
お姉さん,おねえさん,1001990,0,older sister; elder sister,|,|,|,&n;,姉さん・1,,,,False,,,,,usu. お姉さん,&hon;
お姉さん,おねえさん,1001990,1,young lady,,,,&n;,姉さん・2,,,,False,,,,,vocative,
お姉さん,おねえさん,1001990,2,miss,,,,&n;,姉さん・3,,,,False,,,,,"referring to a waitress, etc.; usu. お姐さん",
お姉さん,おねえさん,1001990,3,ma'am,,,,&n;,姉さん・4,,,,False,,,,,used by geisha to refer to their superiors; usu. お姐さん,
お姉さん,おねえさん,1001990,4,older girl,,,,&n;,,,,,False,,,,,,
お婆ちゃん,おばあちゃん,2009460,0,granny; grandma; gran,||,||,||,&n;,,,,,True,,,,,,&fam;|&uk;
お婆ちゃん,おばあちゃん,2009460,1,old lady; old woman,|,|,|,&n;,,,,,True,,,,,,&fam;|&uk;
お嬢さん,おじょうさん,1002170,0,(another's) daughter,,,,&n;,お嬢様・1,,,,False,,,,,,&pol;
お嬢さん,おじょうさん,1002170,1,young lady,,,,&n;,,,,,False,,,,,,
お子さま,おこさま,1002010,0,(someone else's) child,,,,&n;,,,,,False,,,,,,&pol;|&hon;
お子さま,おこさま,1002010,1,child; kid,|,|,|,&n;,,,,,False,,,,,,
お子様,おこさま,1002010,0,(someone else's) child,,,,&n;,,,,,False,,,,,,&pol;|&hon;
お子様,おこさま,1002010,1,child; kid,|,|,|,&n;,,,,,False,,,,,,
お宅,おたく,1002400,0,your house; your home; your family,||,||,||,&n;,,,,,False,,,,,,&hon;
お宅,おたく,1002400,1,your husband,,,,&n;,,,,,False,,,,,,&hon;
お宅,おたく,1002400,2,your organization,,,,&n;,,,,,False,,,,,,&hon;
お宅,おたく,1002400,3,you,,,,&pn;,,,,,False,,,,,referring to someone of equal status with whom one is not especially close,&hon;
お守り,おまもり,1002060,0,charm; amulet,|,|,|,&n;,,,,,False,,,,,,
お客さま,おきゃくさま,1001770,0,guest; visitor,|,|,|,&n;,,,,,False,,,,,,&hon;
お客さま,おきゃくさま,1001770,1,customer; client; shopper; spectator; audience; tourist; sightseer; passenger,|||||||,|||||||,|||||||,&n;,,,,,False,,,,,,&hon;
お客様,おきゃくさま,1001770,0,guest; visitor,|,|,|,&n;,,,,,False,,,,,,&hon;
お客様,おきゃくさま,1001770,1,customer; client; shopper; spectator; audience; tourist; sightseer; passenger,|||||||,|||||||,|||||||,&n;,,,,,False,,,,,,&hon;
お家,おうち,2213230,0,your home; your family; their home; their family,|||,|||,|||,&n;,お宅・1,,,,True,,,,,,&hon;|&uk;
お家,おうち,2213230,1,(my) home,,,,&n;,,,,,True,,,,,,&pol;|&uk;
お家芸,おいえげい,1694470,0,one's specialty; one's forte,|,|,|,&n;,,,,,False,,,,,,
お家芸,おいえげい,1694470,1,specialty of a kabuki school,,,,&n;,,,,,False,,,,,,
お巡りさん,おまわりさん,1002120,0,police officer,,,,&n;,巡査,,,,True,,,,,,&fam;|&uk;
お帰り,おかえり,1612780,0,return,,,,&n;,,,,,False,,,,,,&hon;
お帰り,おかえり,1612780,1,welcome home,,,,∫,お帰りなさい,,,,False,,,,,,&abbr;
お帰りなさい,おかえりなさい,1001740,0,welcome home,,,,∫,,,,,False,,,,,,
お年玉,おとしだま,1270580,0,New Year's gift (usu. money given to a child by relatives and visitors),,,,&n;,年玉,,,,False,,,,,,
お店,おみせ,2842661,0,store; shop,|,|,|,&n;,店,,,,False,,,,,,&pol;
お弁当,おべんとう,1513065,0,bento; Japanese box lunch,|,|,|expl,&n;,弁当,,,,False,,,,,,
お待たせしました,おまたせしました,2149640,0,thank you for waiting; sorry to have kept you waiting,|,|,|,&exp;,,,,,False,,,,,,&pol;
お手上げ,おてあげ,1002080,0,being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; throwing up (one's) hands,|||||,|||||,|||||lit,&n;,,,,,False,,,,,,
お手伝い,おてつだい,1612810,0,maid; helper,|,|,|,&n;,お手伝いさん,,,,False,,,,,,
お手伝い,おてつだい,1612810,1,help; assistance,|,|,|,&n;|&vs;|&vt;,手伝い・2,,,,False,,,,,,&pol;|&hon;
お手伝いさん,おてつだいさん,1002110,0,maid,,,,&n;,,,,,False,,,,,,
お手数,おてすう,1984090,0,trouble; bother,|,|,|,&n;,手数・てすう・1,,,,False,,,,,,&hon;
お手数ですが,おてすうですが,2830449,0,"sorry to bother you, but ...",,,,&exp;,,,,,False,,,,,,
お手洗い,おてあらい,1002100,0,toilet; restroom; lavatory; bathroom,|||,|||,|||,&n;,,,,,False,,,,,,
お手盛り,おてもり,1002090,0,making arbitrary decisions which benefit oneself; self-approved plan,|,|,|,&n;,,,,,False,,,,,,
お握り,おにぎり,1001620,0,"onigiri; rice ball (often triangular, sometimes with a filling and wrapped in nori)",|,|,|,&n;,,,,,True,,,,,,&uk;|&pol;
お支払い方法,おしはらいほうほう,2838993,0,payment method,,,,&n;,支払い方法,,,,False,,,,,,&pol;
お支払方法,おしはらいほうほう,2838993,0,payment method,,,,&n;,支払い方法,,,,False,,,,,,&pol;
お早う,おはよう,1612820,0,good morning,,,,∫,お早うございます|早い・2,,,,True,,,,,from お早く; may be used colloquially at any time of day,&uk;|&abbr;
お昼,おひる,1660100,0,lunch,,,,&n;,昼・ひる・3,,,,False,,,,,,&pol;
お昼,おひる,1660100,1,noon; midday,|,|,|,&n;,昼・ひる・1,,,,False,,,,,,&pol;
お昼,おひる,1660100,2,daytime,,,,&n;,昼・ひる・2,,,,False,,,,,,&pol;
お昼,おひる,1660100,3,waking up; getting up; rising,||,||,||,&n;,,,,,False,,,,,,&hon;
お時間,おじかん,2842263,0,(your) time,,,,&n;,時間・1,,,,False,,,,,usu. in a request,&pol;
お株,おかぶ,1694520,0,one's forte; strong point; specialty; speciality,|||,|||,|||,&n;,,,,,False,,,,,,
お歳暮,おせいぼ,1612670,0,year-end gift,,,,&n;,歳暮・1|お中元,,,,False,,,,,,
お歳暮,おせいぼ,1612670,1,end of the year; year end,|,|,|,&n;,歳暮・せいぼ・2,,,,False,,,,,,
お母さん,おかあさん,1002650,0,mother; mom; mum; ma,|||,|||,|||,&n;,母さん・1,,,,False,,,,,,&hon;
お母さん,おかあさん,1002650,1,wife,,,,&n;,,,,,False,,,,,,&hon;
お気に入り,おきにいり,1610620,0,favorite; favourite; pet (e.g. teacher's pet),||,||,||,&exp;|&adj-no;,気に入り,,,,False,,,,,,
お気に入り,おきにいり,1610620,1,bookmark (in web browser),,,,&exp;,,,,,False,,,,,,
お洒落,おしゃれ,1002770,0,smartly dressed; stylish; fashion-conscious,||,||,||,&adj-na;|&adj-no;,洒落・しゃれ・2,,,,True,,,,,,&uk;
お洒落,おしゃれ,1002770,1,someone smartly dressed,,,,&n;,,,,,True,,,,,,&uk;
お洒落,おしゃれ,1002770,2,to dress up; to be fashionable,|,|,|,&vs;|&vi;,,,,,True,,,,,,&uk;
お父さん,おとうさん,1002590,0,father; dad; papa; pa; pop; daddy; dada,||||||,||||||,||||||,&n;,父さん,,,,False,,,,,,&hon;
お父さん,おとうさん,1002590,1,husband,,,,&n;,,,,,False,,,,,,&hon;
お父さん,おとうさん,1002590,2,you; he; him,||,||,||,&pn;,,,,,False,,,,,of person older than speaker,&col;
お産,おさん,1001960,0,(giving) birth; childbirth; delivery; confinement,|||,|||,|||,&n;,産・さん・1,,,,False,,,,,,&pol;
お疲れさま,おつかれさま,1002570,0,thank you (for your hard work); good work,|,|,|,&exp;,,,,,False,,,,,,
お疲れさま,おつかれさま,1002570,1,see you; goodbye; goodnight,||,||,||,&exp;,,,,,False,,,,,,
お疲れ様,おつかれさま,1002570,0,thank you (for your hard work); good work,|,|,|,&exp;,,,,,False,,,,,,
お疲れ様,おつかれさま,1002570,1,see you; goodbye; goodnight,||,||,||,&exp;,,,,,False,,,,,,
お知らせ,おしらせ,1002420,0,notice; notification,|,|,|,&n;|&vs;,知らせ・1,,,,False,,,,,,
お礼,おれい,1270810,0,thanks; gratitude,|,|,|,&n;,,,,,False,,,,,,&pol;
お礼,おれい,1270810,1,manners; etiquette,|,|,|,&n;,,,,,False,,,,,,&pol;
お礼,おれい,1270810,2,bow,,,,&n;,,,,,False,,,,,,&pol;
お礼,おれい,1270810,3,reward; gift,|,|,|,&n;,,,,,False,,,,,,&pol;
お礼,おれい,1270810,4,ceremony; ritual,|,|,|,&n;,,,,,False,,,,,,&pol;
お祖母さん,おばあさん,1002330,0,grandmother,,,,&n;,祖母さん・1,,,,True,,,,,usu. お祖母さん,&uk;
お祖母さん,おばあさん,1002330,1,old woman; female senior citizen,|,|,|,&n;,婆さん・2,,,,True,,,,,usu. お婆さん,&uk;
お祖父さん,おじいさん,1002320,0,grandfather,,,,&n;,祖父さん,,,,True,,,,,usu. お祖父さん,&uk;
お祖父さん,おじいさん,1002320,1,male senior-citizen,,,,&n;,,,,,True,,,,,usu. お爺さん,&uk;
お祝い,おいわい,1612770,0,congratulation; congratulations; celebration; festival,|||,|||,|||,&n;,祝い・1,,,,False,,,,,,&hon;
お祝い,おいわい,1612770,1,congratulatory gift; present,|,|,|,&n;,祝い・2,,,,False,,,,,,
お神輿,おみこし,1589310,0,portable shrine (carried in festivals),,,,&n;,御輿・1,,,,False,,,,,,&pol;
お神輿,おみこし,1589310,1,buttocks; lower back; waist; hips,|||,|||,|||,&n;,腰・こし・1,,,,True,,,,,,&uk;
お祭り騒ぎ,おまつりさわぎ,1694610,0,festival merrymaking; revelry,|,|,|,&n;,,,,,False,,,,,,
お節,おせち,2122790,0,osechi; food eaten during the New Year's Holidays,|,|,|expl,&n;,お節料理,,,,True,,,,,,&abbr;|&uk;
お節介,おせっかい,1270450,0,meddling; meddlesomeness; nosiness; interference; officiousness,||||,||||,||||,&adj-na;|&n;,節介,,,,True,,,,,,&uk;
お節介,おせっかい,1270450,1,meddler; buttinsky; busybody,||,||,||,&n;,,,,,True,,,,,,&uk;
お節料理,おせちりょうり,1270460,0,osechi; osechi-ryōri; traditional food eaten during the New Year's holidays,||,||,||expl,&n;,,,&food;,,False,,,,,,
お絞り,おしぼり,1001910,0,"wet towel (supplied at table); hot, moistened hand towel",|,|,|,&n;,,,,,True,,,,,,&uk;
お腹,おなか,1002610,0,belly; abdomen; stomach,||,||,||,&n;,,,,,False,,,,,,&pol;
お腹の子,おなかのこ,2534350,0,child one is expecting; child in one's womb,|,|,|,&exp;,,,,,False,,,,,,
お茶,おちゃ,1002430,0,tea (usu. green),,,,&n;,茶・1,,,,False,,,,,,&pol;
お茶,おちゃ,1002430,1,tea break (at work),,,,&n;,,,,,False,,,,,,
お茶,おちゃ,1002430,2,tea ceremony,,,,&n;,茶の湯,,,,False,,,,,,
お菓子,おかし,1001710,0,confections; sweets; candy; cake,|||,|||,|||,&n;,菓子,,,,False,,,,,,
お蔭様で,おかげさまで,1270220,0,thankfully; fortunately; luckily; by God's grace; under the gods' shadow,||||,||||,||||lit,&exp;,,,,,True,,,,,,&pol;|&uk;
お蔭様で,おかげさまで,1270220,1,"thanks to your (his, their, everyone's, etc.) kindness; thanks to your assistance; thanks to your support; thanks to your efforts",|||,|||,|||,&exp;,,,,,True,,,,,,&pol;|&uk;
お袋,おふくろ,1002370,0,one's mother,,,,&n;,,,,,True,,,,,,&col;|&uk;
お見積もり,おみつもり,2850928,0,quotation; quote,|,|,|,&n;,見積り,,,,False,,,,,,&pol;
お詫び,おわび,2087420,0,apology,,,,&n;|&vs;,詫び,,,,False,,,,,,
お話,おはなし,2581590,0,story; tale,|,|,|,&n;,,,,,False,,,,,,
お話,おはなし,2581590,1,talk; discussion,|,|,|,&n;,,,,,False,,,,,,&hon;
お話し,おはなし,2581590,0,story; tale,|,|,|,&n;,,,,,False,,,,,,
お話し,おはなし,2581590,1,talk; discussion,|,|,|,&n;,,,,,False,,,,,,&hon;
お話し中,おはなしちゅう,1002750,0,busy (phone),,,,&adj-no;,話中・1,,,,False,,,,,,&pol;
お誕生日,おたんじょうび,2852392,0,birthday,,,,&n;,,,,,False,,,,,,&pol;
お誕生日おめでとうございます,おたんじょうびおめでとうございます,1002410,0,happy birthday,,,,&exp;,,,,,False,,,,,,&pol;
お買い得,おかいどく,2617070,0,bargain; good buy; budget,||,||,||,&n;|&adj-no;,買い得・かいどく,,,,False,,,,,,
お買得,おかいどく,2617070,0,bargain; good buy; budget,||,||,||,&n;|&adj-no;,買い得・かいどく,,,,False,,,,,,
お辞儀,おじぎ,1002030,0,bow; bowing,|,|,|,&n;|&vs;|&vi;,辞儀・1,,,,False,,,,,,&pol;
お返し,おかえし,1002640,0,return gift; return favour (favor),|,|,|,&n;|&vs;|&vt;,,,,,False,,,,,,
お返し,おかえし,1002640,1,revenge,,,,&n;|&vs;,,,,,False,,,,,,
お返し,おかえし,1002640,2,change (in a cash transaction),,,,&n;|&vs;,,,,,False,,,,,,
お邪魔します,おじゃまします,1002050,0,please excuse the intrusion; I'm coming in,|,|,|,&exp;,,,,,False,,,,,greeting used when entering someone's home,
お金,おかね,1001820,0,money,,,,&n;,金・かね・1,,,,False,,,,,,&pol;
お釣り,おつり,1270550,0,change (for a purchase),,,,&n;,釣り・2,,,,False,,,,,,&pol;
お釣り,おつり,1270550,1,toilet splashback,,,,&n;,,,,,False,,,,,,&col;|&joc;
お開き,おひらき,1862840,0,"breakup (of a ceremony, wedding, party, meeting, etc.); closure",|,|,|,&n;,,,,,False,,,,,,
お陰で,おかげで,1270210,0,thanks to ...; owing to ...; because of ...,||,||,||,&exp;,お蔭・おかげ・3,,,,True,,,,,,&uk;
お陰様で,おかげさまで,1270220,0,thankfully; fortunately; luckily; by God's grace; under the gods' shadow,||||,||||,||||lit,&exp;,,,,,True,,,,,,&pol;|&uk;
お陰様で,おかげさまで,1270220,1,"thanks to your (his, their, everyone's, etc.) kindness; thanks to your assistance; thanks to your support; thanks to your efforts",|||,|||,|||,&exp;,,,,,True,,,,,,&pol;|&uk;
お願い,おねがい,2036870,0,request; favour (to ask); wish,||,||,||,&n;|&vs;|&vt;,願い・2,,,,False,,,,,,&pol;
お願い,おねがい,2036870,1,please,,,,∫,お願いします,,,,False,,,,,,
お願いいたします,おねがいいたします,1001730,0,please,,,,&exp;,お願いします,,,,False,,,,,,&hum;
お願いします,おねがいします,1001720,0,please,,,,&exp;,,,,,False,,,,,,&hum;
お願い致します,おねがいいたします,1001730,0,please,,,,&exp;,お願いします,,,,False,,,,,,&hum;
お飾り,おかざり,1694770,0,decorations; offerings; mere window dressing,||,||,||,&n;,,,,,False,,,,,,
お馴染み,おなじみ,2007510,0,familiar; well-known; regular (e.g. customer); favourite; favorite,||||,||||,||||,&adj-no;,馴染み,,,,True,,,,,,&pol;|&uk;
お馴染み,おなじみ,2007510,1,old acquaintance; old friend; (a) regular; regular customer,|||,|||,|||,&n;,,,,,True,,,,,,&pol;|&uk;
かき氷,かきごおり,1399920,0,shaved ice (usually served with flavored simple syrup); Italian ice; snow cone; sno-cone,|||,|||,|||,&n;,,,,,False,,,,,,
かと言って,かといって,2133810,0,having said that; on the other hand; (but) then; (but) still,|||,|||,|||,&exp;,,,,,True,,,,,,&uk;
かも知れない,かもしれない,1002970,0,may; might; perhaps; may be; possibly,||||,||||,||||,&exp;,,,,,True,,,,,,&uk;
かも知れません,かもしれません,1002975,0,may; might; perhaps; may be; possibly,||||,||||,||||,&exp;,かも知れない・かもしれない,,,,True,,,,,,&uk;|&pol;
か弱い,かよわい,1003060,0,weak; feeble; delicate; frail; helpless,||||,||||,||||,&adj-i;,,,,,False,,,,,,
きまり悪い,きまりわるい,1254160,0,embarrassed; ashamed,|,|,|,&adj-i;,決まりが悪い,,,,False,,,,,,
くじ引き,くじびき,1570370,0,lottery; drawn lot,|,|,|,&n;|&vs;|&vi;,,,,,False,,,,,,
くっ付く,くっつく,1003860,0,to adhere to; to stick to; to cling to,||,||,||,&v5k;|&vi;,,,,,True,,,,,,&uk;
くっ付く,くっつく,1003860,1,to keep close to; to go along with,|,|,|,&v5k;|&vi;,,,,,True,,,,,,&uk;
くっ付く,くっつく,1003860,2,to get involved with; to be thick with; to become intimate,||,||,||,&v5k;|&vi;,,,,,True,,,,,,&uk;
けが人,けがにん,1200230,0,wounded person; injured person,|,|,|,&n;,,,,,False,,,,,,
こう言う,こういう,1004320,0,such; this sort of; like this,||,||,||,&adj-pn;,,,,,True,,,,,,&uk;
こう言った,こういった,2202790,0,this sort of; this type of,|,|,|,&exp;,こういう,,,,True,,,,,,&uk;
